pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_eqt,st_rad,st_mass,st_logg,sy_dist,st_rotp
HD 45350 b,1,1,Radial Velocity,2004,963.6,13.5,0.092,568.89,,1.26,0.98,4.23,46.8733,
HD 88133 b,1,1,Radial Velocity,2004,3.414884,13.8,0.081,324.1866,,2.2,1.26,3.88,73.6123,
HD 99492 b,2,1,Radial Velocity,2004,17.0431,5.02,0.089,22.2481,,0.83,0.48,4.28,18.2038,
OGLE-2003-BLG-235L b,1,1,Microlensing,2004,,13.2,0.093,830,,,0.63,,5800,
OGLE-TR-10 b,1,1,Transit,2004,3.101278,14.011,0.117,197.046,961,1.17,1.14,4.18,1344.97,
OGLE-TR-111 b,1,1,Transit,2004,4.0144463,11.422,0.152,174.799,,0.83,0.82,4.54,1068.33,
OGLE-TR-113 b,1,1,Transit,2004,1.4324752,12.251,0.125,400.449,,0.77,0.78,4.55,566.459,
OGLE-TR-132 b,1,1,Transit,2004,1.689868,13.45,0.232,375.02,,1.32,1.3,4.31,2012.62,
TrES-1 b,2,1,Transit,2004,3.03007,12.666,0.09,266.9772,,0.85,1.04,4.57,159.658,
AB Pic b,1,1,Imaging,2005,,12.3,0.145,4290.5,,1,0.9,4.53,50.0475,
GJ 581 b,1,3,Radial Velocity,2005,5.3686,4.11,0.107,15.8,,0.33,0.31,4.89,6.2981,
GJ 876 d,1,4,Radial Velocity,2005,1.93778,2.51,0.08,6.83,,0.3,0.32,4.87,4.67517,
HD 101930 b,2,1,Radial Velocity,2005,70.46,10.6,0.086,79.4575,,0.86,0.57,4.33,30.0274,
HD 102117 b,1,1,Radial Velocity,2005,20.8133,8.47,0.171,54.0311,431,1.23,1.06,4.29,39.5792,14.6
HD 107148 b,2,2,Radial Velocity,2005,48.056,9.6,0.514,66.741,817,1.17,1.12,4.45,49.4156,
HD 108874 c,1,2,Radial Velocity,2005,1624,13.8,0.132,314.64,1149,1.09,0.95,4.36,59.5175,
HD 109749 b,2,1,Radial Velocity,2005,5.239891,11.1,0.203,85.8141,866,1.22,1.13,4.31,63.0821,
HD 118203 b,1,1,Radial Velocity,2005,6.1335,13.2,0.194,886.7457,,2.06,1.84,4.08,92.2589,
HD 11964 b,2,2,Radial Velocity,2005,1945,14.1,0.143,198,,2.01,0.91,3.79,33.5369,
HD 11977 b,1,1,Radial Velocity,2005,711,12.7,0.112,2080,756,10.09,1.91,2.9,67.9331,
HD 128311 c,1,2,Radial Velocity,2005,921.538,13,0.207,1204.25787,658,0.76,0.83,4.61,16.3292,
HD 13189 b,1,1,Radial Velocity,2005,471.60001,12.4,0.107,3480.2385,,38.41,2.24,1.62,497.823,
HD 142022 A b,2,1,Radial Velocity,2005,1928,12.9,0.205,1411.1652,,1.04,0.9,4.35,34.2802,
HD 149026 b,1,1,Radial Velocity,2005,2.87589,8.295,0.231,120.7754,536,1.41,1.42,4.37,75.8643,
HD 149143 b,1,1,Radial Velocity,2005,4.07182,13.6,0.24,422.7139,316,1.44,1.2,4.25,73.2801,
HD 164922 b,1,4,Radial Velocity,2005,1207,13.3,0.088,116,,0.95,0.93,4.46,22.0016,
HD 189733 b,2,1,Radial Velocity,2005,2.21857567,12.666,0.132,359.1479,,0.75,0.79,4.49,19.7638,
HD 190360 c,2,2,Radial Velocity,2005,17.111,4.59,0.162,19.069,2119,1.17,0.98,4.29,16.0069,
HD 212301 b,2,1,Radial Velocity,2005,2.24571,14.2,0.244,162.0933,741,1.16,1.55,4.5,54.2304,
HD 217107 c,1,2,Radial Velocity,2005,4270,13.2,0.098,826.32,932,1.2,0.98,4.27,20.0619,
HD 2638 b,3,1,Radial Velocity,2005,3.4442,14.3,1.051,133.4886,1401,0.94,0.77,4.38,54.9621,
HD 27894 b,1,3,Radial Velocity,2005,18.02,14.1,1.11,211.35695,183,0.89,0.8,4.22,43.8214,
HD 33564 b,1,1,Radial Velocity,2005,388,12.5,0.174,2892.1,1616,1.44,1.25,4,20.9531,41
HD 37124 d,1,3,Radial Velocity,2005,1862,14,0.327,221.20968,990,0.95,0.85,4.39,31.6634,41
HD 4308 b,1,1,Radial Velocity,2005,15.56,4.12,0.352,15.8915,752,1.02,0.93,4.39,22.0158,41
HD 50499 b,1,2,Radial Velocity,2005,2447.1,13.5,1.09,519.96988,2375,1.35,1.25,4.25,46.2845,
HD 63454 b,1,1,Radial Velocity,2005,2.81805,12.31,0.124,79.4575,587,0.77,0.42,4.28,37.6894,100
HD 66428 b,1,2,Radial Velocity,2005,2263.12,13.1,0.157,1018.32732,387,1.1,1.08,4.36,53.2817,100
HD 73526 c,1,2,Radial Velocity,2005,379.1,13.3,0.181,715.09,456,1.53,1.01,4.2,97.2396,29.85
HD 81040 b,1,1,Radial Velocity,2005,1001.70001,12.6,0.098,2310.6241,,0.91,1.05,4.54,34.4341,
HD 93083 b,1,1,Radial Velocity,2005,143.58,13.4,0.105,117.59,,0.85,0.7,4.26,28.5159,
HD 99109 b,1,1,Radial Velocity,2005,439.29999,14.3,0.103,139.8452,,0.98,0.76,4.34,54.7901,
HIP 14810 b,1,3,Radial Velocity,2005,6.673892,13,0.101,1239.537,529,1.07,1.01,4.32,50.48,122.3
OGLE-2005-BLG-071L b,1,1,Microlensing,2005,,13,0.128,1200,300,,0.46,,3200,122.3
OGLE-2005-BLG-390L b,1,1,Microlensing,2005,3285,2.21,1.07,5.5,,,0.22,,6600,
4 UMa b,1,1,Radial Velocity,2006,269.3,12.7,0.866,2256.5,,18.11,1.23,1.8,73.4603,
CHXR 73 b,1,1,Imaging,2006,,12.3,0.124,3994.486,,,0.35,,190.374,
GJ 849 b,1,2,Radial Velocity,2006,1915,13.9,0.245,286.04557,596,0.47,0.49,4.77,8.80058,124.7
HAT-P-1 b,2,1,Transit,2006,4.46529976,14.785,0.106,166.86075,1089,1.17,1.15,4.36,158.979,64
HD 102195 b,1,1,Radial Velocity,2006,4.11377,14.2,0.234,130.3103,,0.82,0.76,4.49,29.3386,70
HD 10647 b,1,1,Radial Velocity,2006,989.2,13.8,0.233,298.75,422,1.1,1.11,4.62,17.3357,
HD 154345 b,1,1,Radial Velocity,2006,3341.55884,13.9,0.139,260.6206,550,0.85,0.71,4.43,18.284,
HD 159868 b,1,2,Radial Velocity,2006,1184.1,13.3,0.595,704.94694,,2.13,1.19,3.92,55.8503,
HD 160691 e,1,4,Radial Velocity,2006,310.55,14.2,0.283,165.8685,,1.38,1.08,4.17,15.5981,43.6
HD 185269 b,3,1,Radial Velocity,2006,6.83776,13.8,0.29,321.0083,,2,1.3,3.92,51.9917,
HD 187085 b,1,1,Radial Velocity,2006,1019.74,13.9,0.223,265.70588,,1.27,1.19,4.28,45.8993,
HD 203030 b,1,1,Imaging,2006,,14.46,0.528,3496.11248,,0.86,0.94,4.64,39.2503,
HD 20782 b,2,5,Radial Velocity,2006,597.0643,13.6,1.24,472.83,,1.13,1.04,4.35,35.9864,
HD 224693 b,1,1,Radial Velocity,2006,26.6904,14,0.217,222.481,,1.93,1.31,4.38,93.5015,
HD 23127 b,1,1,Radial Velocity,2006,1211.17,13.5,0.215,485.32641,,1.49,1.21,4.15,93.8555,
HD 24040 b,1,2,Radial Velocity,2006,3668,13,0.237,1226.8238,,1.3,1.11,4.26,46.6224,
HD 33283 b,2,1,Radial Velocity,2006,18.1991,12.5,0.372,104.56607,,1.97,1.38,4.12,89.8623,
HD 62509 b,1,1,Radial Velocity,2006,589.64,13.3,0.232,731,,8.9,2,2.78,10.34,
HD 69830 b,1,3,Radial Velocity,2006,8.667,3.17,0.254,10.2,,0.89,0.86,4.49,12.5591,
HD 69830 c,1,3,Radial Velocity,2006,31.56,3.46,0.163,11.8,351,0.89,0.86,4.49,12.5591,122.1
HD 69830 d,1,3,Radial Velocity,2006,197,4.45,0.327,18.1,,0.89,0.86,4.49,12.5591,
HD 86081 b,2,1,Radial Velocity,2006,2.1378431,13.6,0.135,470.3884,,1.46,1.21,4.18,103.936,99
HIP 14810 c,1,3,Radial Velocity,2006,147.747,13.6,0.094,416.3573,,1.07,1.01,4.22,50.48,99
HN Peg b,1,1,Imaging,2006,,11.777,1.17,6991.57,350,1.01,1.08,4.48,18.1186,
OGLE-2005-BLG-169L b,1,1,Microlensing,2006,,3.84,0.249,14.1,,,0.69,,4100,
Oph 11 b,1,1,Imaging,2006,7300000,12.3,0.106,4449.62,,0.23,0.02,4.25,136.165592,42.5
SWEEPS-11 b,1,1,Transit,2006,1.796,12.666,0.167,3082.82,,1.45,1.1,,8500,42.5
SWEEPS-4 b,1,1,Transit,2006,4.2,9.079,0.288,1207.7,,1.18,1.24,,8500,42.5
TrES-2 b,2,1,Transit,2006,2.47063,15.244,1.18,473.5667,,1.12,1.36,4.43,215.32,
XO-1 b,1,1,Transit,2006,3.94153,12.778,1.2,263.7989,,0.88,0.88,4.51,163.553,
eps Tau b,1,1,Radial Velocity,2006,594.9,12.6,1.19,2415.406,,13.7,2.7,2.67,47.52852,
11 Com b,2,1,Radial Velocity,2007,326.03,12.1,0.463,6165.6,,19,2.7,2.31,93.1846,41
55 Cnc f,2,5,Radial Velocity,2007,259.88,7.59,0.434,44.812,,0.94,0.91,4.43,12.5855,41
BD-13 2130 b,1,1,Radial Velocity,2007,714.29999,12.5,0.238,3108.3774,,19.17,2.12,2.2,925.214,41
CT Cha b,1,1,Imaging,2007,,24.66,0.145,5403,,1.68,,3.66,190.72,41
GJ 317 b,1,2,Radial Velocity,2007,695.66,13.3,0.109,794.5,,0.43,0.42,4.82,15.1968,33
GJ 581 c,1,3,Radial Velocity,2007,12.914,2.21,0.118,5.5,,0.33,0.31,4.89,6.2981,33
GJ 674 b,1,1,Radial Velocity,2007,4.6938,3.33,0.219,11.09,,0.36,0.35,4.86,4.54896,
HAT-P-2 b,1,1,Transit,2007,5.6335158,10.66,0.284,2765.121,391,1.39,1.33,4.16,127.774,16.61
HAT-P-3 b,2,1,Transit,2007,2.8997,10.536,0.408,206.5895,594,0.87,1.06,4.56,134.554,21.54
HAT-P-4 b,2,1,Transit,2007,3.056536,14.28,0.113,213.255,773,1.62,0.56,4.14,320.451,168.3
HAT-P-5 b,1,1,Transit,2007,2.78849,13.563,0.235,311.4734,329,1.12,1.04,4.37,303.336,168.3
HAT-P-6 b,1,1,Transit,2007,3.85298,16.589,1.27,419.5356,,1.62,1.79,4.22,275.358,87
HD 100777 b,1,1,Radial Velocity,2007,383.70001,13.8,0.109,327.3649,525,1.04,0.83,4.32,49.5336,
HD 11506 b,1,2,Radial Velocity,2007,1622.1,12.9,0.148,1535.1189,401,1.34,1.24,4.43,51.261,
HD 125612 b,2,3,Radial Velocity,2007,557.04,13.1,0.209,985.273,220,1.05,1.11,4.45,57.6207,
HD 132406 b,1,1,Radial Velocity,2007,974,12.8,0.253,1709.9254,,1.34,1.03,4.2,70.7832,
HD 155358 b,1,2,Radial Velocity,2007,194.3,13.8,0.245,314.6517,,1.38,1.15,4.22,43.6197,95
HD 155358 c,1,2,Radial Velocity,2007,391.9,13.9,0.104,261,485,1.38,0.92,4.16,43.6197,34.15
HD 156846 b,2,1,Radial Velocity,2007,359.51001,12.4,0.229,3391.2461,590,1.9,1.38,4.02,47.7332,
HD 167042 b,1,1,Radial Velocity,2007,420.77,13.5,0.123,540.29,,4.3,1.72,3.29,49.6633,
HD 170469 b,2,1,Radial Velocity,2007,1145,14.1,0.212,209.7678,,1.24,1.1,4.3,60.178,
HD 17092 b,1,1,Radial Velocity,2007,359.89999,12.5,0.129,3219.6179,370,13.58,6.73,3,228.422,56.15
HD 171028 b,1,1,Radial Velocity,2007,550,13.2,0.235,832.7146,309,2.47,1.53,3.84,111.659,
HD 17156 b,1,1,Radial Velocity,2007,21.21663,12.33,0.749,1115.5833,125,1.55,1.41,4.2,78.0863,
