pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,723.2,0.74,-0.74,0,12,,,0,7961.6016,708.75735,-708.75735,0,,,,,,,,,0,5040,112,-112,0,0.84,0.04,-0.04,0,0.81,0.1,-0.1,0,4.25,0.22,-0.22,0
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,3.8728,0.0004,-0.0004,0,2.85,,,0,8.5,1.3,-1.3,0,,,,,,,,,0,4324,100,-100,0,0.69,0.06,-0.07,0,0.7,,,0,4.74,0.02,-0.02,0
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,125.94,0.44,-0.44,0,8.38,,,0,53,8,-8,0,,,,,,,,,0,4324,100,-100,0,0.69,0.06,-0.07,0,0.7,,,0,4.74,0.02,-0.02,0
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,5.6,0.02,-0.02,0,3.61,,,0,12.7132,3.1783,-3.1783,0,,,,,,,,,0,4816,114,-114,0,0.71,0.04,-0.04,0,0.5,0.26,-0.26,0,4.43,0.22,-0.22,0
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,237.6,1.5,-1.5,0,12.5,,,0,104,10,-10,0,,,,,,,,,0,4746,63,-63,0,0.72,0.02,-0.02,0,0.74,0.07,-0.07,0,4.13,0.26,-0.26,0
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.00011,-0.00011,0,14.1,,,0,187.5197,22.2481,-22.2481,0,,,,,,,,,0,5393,44,-44,0,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0,4.69,0.06,-0.06,0
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,1634,13,-14,0,14.1,,,0,206.5895,15.8915,-19.0698,0,,,,,,,,,0,4550,110,-110,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,4.64,0.03,-0.03,0
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,0.06,-0.08,0,4.04,,,0,15.37,2.97,-2.81,0,,,,,,,,,0,4550,110,-110,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,4.64,0.03,-0.03,0
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,714.29999,5.3,-5.3,0,12.5,,,0,3108.3774,1449.3048,-1449.3048,0,,,,,,,,,0,4545,71,-71,0,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0,2.2,0.2,-0.2,0
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,655.6,0.6,-0.6,0,12.8,,,0,1620.9,38.14,-38.14,0,,,,,,,,,0,4714,93,-93,0,0.69,,,0,0.74,0.03,-0.03,0,4.26,0.24,-0.24,0
