pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
GJ 229 A c,2,2,Radial Velocity,2020,121.995,2.6,7.268,0.19,,3912.54,0.58,4.69,5.75624
GJ 229 b,2,2,Radial Velocity,2014,526.115,2.85,8.478,0.1,,3564,0.58,4.69,5.75624
GJ 251 b,1,1,Radial Velocity,2020,14.238,1.83,4,0.1,351,3451,0.36,4.96,5.58057
GJ 27.1 b,1,1,Radial Velocity,2014,15.819,3.66,13,0.08,,3542,0.53,4.72,23.6062
GJ 273 b,1,2,Radial Velocity,2017,18.6498,1.51,2.89,0.1,,3382,0.29,4.91,5.921535
GJ 273 c,1,2,Radial Velocity,2017,4.7234,1.06,1.18,0.17,,3382,0.29,4.91,5.921535
GJ 3021 b,2,1,Radial Velocity,2000,133.71,13.1,1071.04,0.511,350,5540,0.9,4.7,17.5559
GJ 3082 b,1,1,Radial Velocity,2020,11.949,2.79,8.2,0.22,,3910,0.47,4.77,16.6186
GJ 3138 b,1,3,Radial Velocity,2017,1.22003,1.18,1.78,0.19,,3717,0.68,4.63,28.4712
GJ 3138 c,1,3,Radial Velocity,2017,5.974,1.88,4.18,0.11,,3717,0.68,4.63,28.4712
GJ 3138 d,1,3,Radial Velocity,2017,257.8,3.23,10.5,0.32,,3717,0.68,4.63,28.4712
GJ 317 b,1,2,Radial Velocity,2007,695.66,13.3,794.5,0.07,,3492.73,0.42,4.82,15.1968
GJ 317 c,1,2,Radial Velocity,2018,6739.323,13.5,522.5,0.17,,3492.73,0.42,4.82,15.1968
GJ 328 b,1,1,Radial Velocity,2013,4100,13.3,731,0.37,,3900,0.69,4.61,20.5266
GJ 3293 b,1,4,Radial Velocity,2015,30.5987,5.19,23.54,0.06,,3466,0.42,4.78,20.1903
GJ 3293 c,1,4,Radial Velocity,2015,122.6196,4.87,21.09,0.11,,3466,0.42,4.78,20.1903
GJ 3293 d,1,4,Radial Velocity,2017,48.1345,2.67,7.6,0.12,,3466,0.42,4.78,20.1903
GJ 3293 e,1,4,Radial Velocity,2017,13.2543,1.63,3.28,0.21,,3466,0.42,4.78,20.1903
GJ 3323 b,1,2,Radial Velocity,2017,5.3636,1.23,2.02,0.23,,3159,0.16,,5.37484
GJ 3323 c,1,2,Radial Velocity,2017,40.54,1.32,2.31,0.17,,3159,0.16,,5.37484
GJ 3341 b,1,1,Radial Velocity,2015,14.207,2.46,6.6,0.31,,3526,0.47,4.77,23.619
GJ 338 B b,2,1,Radial Velocity,2020,24.45,3.19,10.27,0.11,391,4005,0.64,4.68,6.33256
GJ 3470 b,1,1,Radial Velocity,2012,3.3366496,4.57,13.9,0.017,594,3600,0.54,4.7,29.4214
GJ 3473 b,2,2,Transit,2020,1.1980035,1.264,1.86,0,773,3347,0.36,4.81,27.3644
GJ 3473 c,2,2,Radial Velocity,2020,15.509,2.63,7.41,0,329,3347,0.36,4.81,27.3644
GJ 3512 b,1,1,Radial Velocity,2019,203.59,14.3,147.15529,0.4356,,3081,0.12,5.16,9.48637
GJ 357 b,1,3,Transit,2019,3.93072,1.217,1.84,,525,3505,0.34,4.94,9.44181
GJ 357 c,1,3,Radial Velocity,2019,9.1247,1.66,3.4,,401,3505,0.34,4.94,9.44181
GJ 357 d,1,3,Radial Velocity,2019,55.661,2.34,6.1,,220,3505,0.34,4.94,9.44181
GJ 3634 b,1,1,Radial Velocity,2010,2.64561,2.83,8.4,0.08,,3517,0.45,4.78,20.3779
GJ 3779 b,1,1,Radial Velocity,2018,3.0232,2.75,8,0.07,,3324,0.27,5.05,13.743
GJ 393 b,1,1,Radial Velocity,2021,7.02679,1.17,1.71,,485,3579,0.43,4.88,7.03149
GJ 3942 b,1,1,Radial Velocity,2017,6.905,2.57,7.14,0.121,590,3867,0.63,4.65,16.9287
GJ 3998 b,1,2,Radial Velocity,2016,2.64977,1.38,2.47,0,,3722,0.5,4.77,18.1459
GJ 3998 c,1,2,Radial Velocity,2016,13.74,2.38,6.26,0.049,,3722,0.5,4.77,18.1459
GJ 411 b,1,2,Radial Velocity,2019,12.946,1.45,2.69,0.12,370,3601,0.39,4.87,5.675773
GJ 414 A b,2,2,Radial Velocity,2021,50.8,2.63,7.6,0.45,309,4120,0.65,4.65,11.8893
GJ 414 A c,2,2,Radial Velocity,2021,749.83,8.4,53.83,0.105,125,4120,0.65,4.65,11.8893
GJ 422 b,1,1,Radial Velocity,2014,20.129,3.33,11.07,0.11,,3323,0.35,4.85,12.6631
GJ 4276 b,1,1,Radial Velocity,2019,13.352,4.22,16.57,0.37,,3387,0.41,4.97,21.3362
GJ 433 b,1,3,Radial Velocity,2011,7.3705,2.33,6.043,0.04,,3461,0.48,4.81,9.06456
GJ 433 c,1,3,Radial Velocity,2014,5094.105,6.27,32.422,0.12,,3472,0.48,4.76,9.06456
GJ 433 d,1,3,Radial Velocity,2020,36.059,2.14,5.223,0.07,,3461,0.48,4.76,9.06456
GJ 436 b,1,1,Radial Velocity,2004,2.64388312,4.17,22.1,0.13827,686,3586.11,0.47,4.79,9.75321
GJ 480 b,1,1,Radial Velocity,2020,9.567,3.69,13.2,0.1,,3381,0.45,4.78,14.2358
GJ 486 b,1,1,Radial Velocity,2021,1.467119,1.305,2.82,0.05,701,3340,0.32,4.89,8.07426
GJ 504 b,1,1,Imaging,2013,,13,1271.3,,510,6234,1.22,4.6,17.5299
GJ 536 b,1,1,Radial Velocity,2016,8.7076,2.17,5.36,0.08,,3685,0.52,4.75,10.4092
GJ 581 b,1,3,Radial Velocity,2005,5.3686,4.11,15.8,0,,3396,0.31,4.89,6.2981
GJ 581 c,1,3,Radial Velocity,2007,12.914,2.21,5.5,0,,3396,0.31,4.89,6.2981
GJ 581 e,1,3,Radial Velocity,2009,3.149,1.17,1.7,0,,3396,0.31,4.89,6.2981
GJ 625 b,1,1,Radial Velocity,2017,14.628,1.49,2.82,0.13,,3499,0.3,4.94,6.47249
GJ 649 b,1,1,Radial Velocity,2009,598.3,12.5,104.244,0.3,,3700,0.54,4.76,10.3796
GJ 667 C b,3,5,Radial Velocity,2011,7.2004,2.23,5.6,0.13,,3350,0.33,4.69,7.24396
